SourceTextTitle,SourceTextCode,EventID,PageNumber,OrderWithinPage,begin_word,end_word
"Absalom, Absalom!",AA,16108,257,257.02,"""Because he hadn't even looked at her.  Oh, he had","Does that suit you?""  ""But it's not love,"" Quentin said."
"Absalom, Absalom!",AA,16109,258,258.01,"Does that suit you?""  ""But it's not love,"" Quentin said.","He just didn't have time yet.  Jesus, he must"
"Absalom, Absalom!",AA,16110,258,258.02,"He just didn't have time yet.  Jesus, he must",because who (without a sister: I dont know about
"Absalom, Absalom!",AA,16111,259,259.01,because who (without a sister: I dont know about,Because he never had to worry about the love
"Absalom, Absalom!",AA,16112,260,260.01,Because he never had to worry about the love,It was the other.  Maybe he thought it would be
"Absalom, Absalom!",AA,16113,261,261.01,It was the other.  Maybe he thought it would be,and then Henry began to talk about his stopping
"Absalom, Absalom!",AA,16114,261,261.02,and then Henry began to talk about his stopping,So the day came and he and Henry rode
"Absalom, Absalom!",AA,16115,262,262.01,So the day came and he and Henry rode,(It would be June now and what would it be
"Absalom, Absalom!",AA,16116,262,262.02,(It would be June now and what would it be,"it would be June now, with the magnolias and"
"Absalom, Absalom!",AA,16117,262,262.03,"it would be June now, with the magnolias and","""That's still not love,"" Quentin said."
"Absalom, Absalom!",AA,16118,263,263.01,"""That's still not love,"" Quentin said.",Rode the forty miles and into the gates and
"Absalom, Absalom!",AA,16119,263,263.02,Rode the forty miles and into the gates and,"thinking of the two of them, the sombre vengeful"
"Absalom, Absalom!",AA,16120,263,263.03,"thinking of the two of them, the sombre vengeful","Jesus, think of his heart then, during those two"
"Absalom, Absalom!",AA,16121,263,263.04,"Jesus, think of his heart then, during those two",didn't your father say how she had even taken
"Absalom, Absalom!",AA,16122,263,263.05,didn't your father say how she had even taken,and Judith neither having to accede to the throwing
"Absalom, Absalom!",AA,16123,263,263.06,and Judith neither having to accede to the throwing,"so that (maybe he even kissed her that time,"
"Absalom, Absalom!",AA,16124,264,264.01,"so that (maybe he even kissed her that time,",so that when the two days were up and he
"Absalom, Absalom!",AA,16125,264,264.02,so that when the two days were up and he,"Think of his heart then, while he rode to"
"Absalom, Absalom!",AA,16126,264,264.03,"Think of his heart then, while he rode to",Then he reached home.  And he never learned if
"Absalom, Absalom!",AA,16127,265,265.01,Then he reached home.  And he never learned if,the very fact that he saw through the skillful questions
"Absalom, Absalom!",AA,16128,265,265.02,the very fact that he saw through the skillful questions,the shortest one of all next to the last one
"Absalom, Absalom!",AA,16129,265,265.03,the shortest one of all next to the last one,Because the lawyer would not dare risk asking
"Absalom, Absalom!",AA,16130,265,265.04,Because the lawyer would not dare risk asking,and the summer passed and September came and still
"Absalom, Absalom!",AA,16131,265,265.05,and the summer passed and September came and still,"So he returned to school, where Henry was waiting"
"Absalom, Absalom!",AA,16132,265,265.06,"So he returned to school, where Henry was waiting",And the fall passed and Christmas came and they
"Absalom, Absalom!",AA,16133,266,266.01,And the fall passed and Christmas came and they,So maybe what he was doing that twilight
"Absalom, Absalom!",AA,16134,266,266.02,So maybe what he was doing that twilight,(and Judith thinking about that like she thought
"Absalom, Absalom!",AA,16135,266,266.03,(and Judith thinking about that like she thought,maybe what he was doing there now was waiting
"Absalom, Absalom!",AA,16136,266,266.04,maybe what he was doing there now was waiting,And he stood there facing the house until Henry
"Absalom, Absalom!",AA,16137,266,266.05,And he stood there facing the house until Henry,"Shreve ceased.  That is, for all the two of them,"
"Absalom, Absalom!",AA,16138,267,267.01,"Shreve ceased.  That is, for all the two of them,","believing that that must have occurred to Henry,"
"Absalom, Absalom!",AA,16139,267,267.02,"believing that that must have occurred to Henry,",So it was four of them who rode the two horses
"Absalom, Absalom!",AA,16140,267,267.03,So it was four of them who rode the two horses,There would be Christmas on the boat too:
"Absalom, Absalom!",AA,16141,267,267.04,There would be Christmas on the boat too:,So it was four of them still who got off
"Absalom, Absalom!",AA,16142,268,268.01,So it was four of them still who got off,"Four of them there, in that room in New Orleans"
"Absalom, Absalom!",AA,16143,268,268.02,"Four of them there, in that room in New Orleans","And Bon may have, probably did, take Henry to"
"Absalom, Absalom!",AA,16144,268,268.03,"And Bon may have, probably did, take Henry to","In fact, Quentin did not even tell Shreve what"
"Absalom, Absalom!",AA,16145,268,268.04,"In fact, Quentin did not even tell Shreve what",Perhaps Quentin himself had not been listening when
"Absalom, Absalom!",AA,16436,268,268.05,Perhaps Quentin himself had not been listening when,since both he and Shreve believed - and were probably
"Absalom, Absalom!",AA,16146,268,268.06,since both he and Shreve believed - and were probably,"""So the old dame asked Henry that one question"
"Absalom, Absalom!",AA,16147,269,269.01,"""So the old dame asked Henry that one question","And so now it would be short, this time with"
"Absalom, Absalom!",AA,16148,269,269.02,"And so now it would be short, this time with",all of a week maybe (after he - the lawyer - would
"Absalom, Absalom!",AA,16149,269,269.03,all of a week maybe (after he - the lawyer - would,"before he would contrive Bon too, and maybe"
"Absalom, Absalom!",AA,16150,269,269.04,"before he would contrive Bon too, and maybe","(""Listen,"" Shreve said, cried.  ""It would be while"
"Absalom, Absalom!",AA,16151,271,271.01,"(""Listen,"" Shreve said, cried.  ""It would be while","Yes, they knew now.  And Jesus, think of him, Bon,"
"Absalom, Absalom!",AA,16152,271,271.02,"Yes, they knew now.  And Jesus, think of him, Bon,","And think of Henry, who had said at first"
"Absalom, Absalom!",AA,16153,271,271.03,"And think of Henry, who had said at first","And maybe it was two days or three days, and Henry"
"Absalom, Absalom!",AA,16154,272,272.01,"And maybe it was two days or three days, and Henry","And maybe it was a week, maybe Bon took"
"Absalom, Absalom!",AA,16155,272,272.02,"And maybe it was a week, maybe Bon took",during that winter and then that spring
"Absalom, Absalom!",AA,16156,272,272.03,during that winter and then that spring,and Henry and Bon already decided to go
"Absalom, Absalom!",AA,16157,272,272.04,and Henry and Bon already decided to go,"Then it was Christmas again, then 1861,"
"Absalom, Absalom!",AA,16158,273,273.01,"Then it was Christmas again, then 1861,",and they hadn't heard from Judith because Judith
"Absalom, Absalom!",AA,16159,273,273.02,and they hadn't heard from Judith because Judith,"So they took the steamboat North again,"
"Absalom, Absalom!",AA,16160,273,273.03,"So they took the steamboat North again,",And maybe this was one place where your old man
"Absalom, Absalom!",AA,16161,273,273.04,And maybe this was one place where your old man,and they rode into Oxford without touching Sutpen's
"Absalom, Absalom!",AA,16162,273,273.05,and they rode into Oxford without touching Sutpen's,"and started for the front.  ""Jesus, think of them."
"Absalom, Absalom!",AA,16163,273,273.06,"and started for the front.  ""Jesus, think of them.",Then it was the next year and Bon was an officer
